state_ab,flu_vacc_est,mandate_type,cvd_vac_prop_cent
nm,0.54732,mandate,0.0798978222347677
ny,0.579863,mandate,0.1176249956043
nc,0.510258,mandate,-0.0129870048448993
nd,0.523699,ban,-0.0761238003886404
ok,0.42538,ban,-0.0490095941740412
or,0.505347,mandate,0.0744455785220563
pa,0.591564,mandate,0.049708667767259
sc,0.455107,ban,-0.0476162318181714
sd,0.562739,ban,-0.011944524226474
tn,0.505272,ban,-0.0796427578902851
tx,0.511686,ban,-0.0124264367572565
ut,0.535731,ban,0.0108725049237496
vt,0.612603,mandate,0.168851310498425
va,0.60924,mandate,0.102455648689565
wa,0.574107,mandate,0.0962731810441297
wi,0.552579,mandate,0.028549686461315
wy,0.364779,ban,-0.101271947260597
al,0.472118,ban,-0.117394709032829
ak,0.422615,ban,0.000550455716624931
az,0.472876,ban,0.00432679397092439
ar,0.551271,ban,-0.0717085210348085
ca,0.551095,mandate,0.0964580316423013
co,0.627339,mandate,0.0827618475539209
ct,0.720447,mandate,0.161611394648818
de,0.528158,mandate,0.0574186487148635
fl,0.415337,ban,0.0499873294310339
ga,0.468404,ban,-0.0760244750660933
id,0.450124,ban,-0.0913795200894222
il,0.536992,mandate,0.0598748690679465
in,0.493105,ban,-0.0714849329013324
ia,0.562719,ban,-0.0033294237163829
ks,0.531791,ban,-0.01090782464068
md,0.708482,mandate,0.117519972326347
